"source_route","source_file","source_line","locale","page_type","link_text","link_type","target_original","target_normalized","fragment","source_or_rendered","http_status_initial","http_status_final","final_url","redirect_hops","content_type","result_category","claim_context","supports_adjacent_claim","support_status","evidence_note","severity","recommended_action"
"/articles/are-decibel-meter-apps-accurate/","src/content/articles/en/are-decibel-meter-apps-accurate.md","1","en","article","Skip to content","internal_fragment","#main","https://dbcheck.app/articles/are-decibel-meter-apps-accurate/#main","main","rendered_html","200","200","https://dbcheck.app/articles/are-decibel-meter-apps-accurate/#main","0","text/html","OK_DIRECT","Skip to content","not_applicable","NO_SOURCE_NEEDED","Fresh build target and fragment verified; local and live route returned 200.","","KEEP AS IS"
"/articles/are-decibel-meter-apps-accurate/","src/content/articles/en/are-decibel-meter-apps-accurate.md","11","en","article","dB check","internal_navigation","/","https://dbcheck.app/","","rendered_html","200","200","https://dbcheck.app/","0","text/html","OK_DIRECT","dB check","not_applicable","NO_SOURCE_NEEDED","Fresh build target and fragment verified; local and live route returned 200.","","KEEP AS IS"
"/articles/are-decibel-meter-apps-accurate/","src/content/articles/en/are-decibel-meter-apps-accurate.md","1","en","article","Tools","internal_navigation","/tools/","https://dbcheck.app/tools/","","rendered_html","200","200","https://dbcheck.app/tools/","0","text/html","OK_DIRECT","Tools","not_applicable","NO_SOURCE_NEEDED","Fresh build target and fragment verified; local and live route returned 200.","","KEEP AS IS"
"/articles/are-decibel-meter-apps-accurate/","src/content/articles/en/are-decibel-meter-apps-accurate.md","1","en","article","Features","internal_fragment","/#features","https://dbcheck.app/#features","features","rendered_html","200","200","https://dbcheck.app/#features","0","text/html","OK_DIRECT","Features","not_applicable","NO_SOURCE_NEEDED","Fresh build target and fragment verified; local and live route returned 200.","","KEEP AS IS"
"/articles/are-decibel-meter-apps-accurate/","src/content/articles/en/are-decibel-meter-apps-accurate.md","1","en","article","Pricing","internal_fragment","/#pricing","https://dbcheck.app/#pricing","pricing","rendered_html","200","200","https://dbcheck.app/#pricing","0","text/html","OK_DIRECT","Pricing","not_applicable","NO_SOURCE_NEEDED","Fresh build target and fragment verified; local and live route returned 200.","","KEEP AS IS"
"/articles/are-decibel-meter-apps-accurate/","src/content/articles/en/are-decibel-meter-apps-accurate.md","31","en","article","Articles","internal_navigation","/articles/","https://dbcheck.app/articles/","","rendered_html","200","200","https://dbcheck.app/articles/","0","text/html","OK_DIRECT","Articles","not_applicable","NO_SOURCE_NEEDED","Fresh build target and fragment verified; local and live route returned 200.","","KEEP AS IS"
"/articles/are-decibel-meter-apps-accurate/","src/content/articles/en/are-decibel-meter-apps-accurate.md","1","en","article","Deutsch","internal_navigation","/de/artikel/sind-dezibel-apps-genau/","https://dbcheck.app/de/artikel/sind-dezibel-apps-genau/","","rendered_html","200","200","https://dbcheck.app/de/artikel/sind-dezibel-apps-genau/","0","text/html","OK_DIRECT","Deutsch","not_applicable","NO_SOURCE_NEEDED","Fresh build target and fragment verified; local and live route returned 200.","","KEEP AS IS"
"/articles/are-decibel-meter-apps-accurate/","src/content/articles/en/are-decibel-meter-apps-accurate.md","11","en","article","Home","internal_navigation","/","https://dbcheck.app/","","rendered_html","200","200","https://dbcheck.app/","0","text/html","OK_DIRECT","Home","not_applicable","NO_SOURCE_NEEDED","Fresh build target and fragment verified; local and live route returned 200.","","KEEP AS IS"
"/articles/are-decibel-meter-apps-accurate/","src/content/articles/en/are-decibel-meter-apps-accurate.md","31","en","article","Articles","internal_navigation","/articles/","https://dbcheck.app/articles/","","rendered_html","200","200","https://dbcheck.app/articles/","0","text/html","OK_DIRECT","Articles","not_applicable","NO_SOURCE_NEEDED","Fresh build target and fragment verified; local and live route returned 200.","","KEEP AS IS"
"/articles/are-decibel-meter-apps-accurate/","src/content/articles/en/are-decibel-meter-apps-accurate.md","195","en","article","NIOSH","editorial_evidence","https://www.cdc.gov/niosh/noise/about/app.html","https://www.cdc.gov/niosh/noise/about/app.html","","rendered_html","200","200","https://www.cdc.gov/niosh/noise/about/app.html","0","text/html","OK_DIRECT","NIOSH","yes","SUPPORTED_DIRECTLY","GET with redirects enabled reached the intended resource.","","KEEP AS IS"
"/articles/are-decibel-meter-apps-accurate/","src/content/articles/en/are-decibel-meter-apps-accurate.md","200","en","article","Murphy and King","editorial_evidence","https://doi.org/10.1016/j.apacoust.2015.12.012","https://linkinghub.elsevier.com/retrieve/pii/S0003682X15003667","","rendered_html","302","200","https://linkinghub.elsevier.com/retrieve/pii/S0003682X15003667","1","text/html;charset=UTF-8","OK_REDIRECTED","Murphy and King","yes","SUPPORTED_DIRECTLY","GET with redirects enabled reached the intended resource.","","KEEP AS IS"
"/articles/are-decibel-meter-apps-accurate/","src/content/articles/en/are-decibel-meter-apps-accurate.md","31","en","article","What Is a Decibel? A Simple Guide to Sound Levels","internal_navigation","/articles/what-is-a-decibel/","https://dbcheck.app/articles/what-is-a-decibel/","","rendered_html","200","200","https://dbcheck.app/articles/what-is-a-decibel/","0","text/html","OK_DIRECT","What Is a Decibel? A Simple Guide to Sound Levels","not_applicable","NO_SOURCE_NEEDED","Fresh build target and fragment verified; local and live route returned 200.","","KEEP AS IS"
